	mouse	totalReads	totalReadsMappedMouseGenome	proportionReadsMapped
21	DO021	25535196	2133667	0.083557886
22	DO022	41528162	9409037	0.226570032
23	DO023	38948810	4093704	0.105104726
24	DO024	33394754	6736334	0.20171833
25	DO025	30744820	4344092	0.141295086
26	DO026	26314664	5746093	0.218360873
27	DO027	36215272	7459743	0.205983349
28	DO028	41406584	11423564	0.275887622
29	DO029	34817818	6118469	0.1757281
30	DO030	43509702	8282207	0.190353108
31	DO031	35922558	10705761	0.298023348
32	DO032	28793508	4097768	0.142315691
33	DO033	37524982	3117679	0.083082758
34	DO034	35183552	2658992	0.07557486
35	DO035	29792498	1361129	0.045686971
36	DO036	22155588	1994014	0.0900005
37	DO037	36696928	2982347	0.081269664
38	DO038	49974778	5778560	0.115629528
39	DO039	34789052	2594030	0.07456455
40	DO040	32420314	6441359	0.198682807
41	DO041	33873460	6160871	0.181878999
42	DO042	42499874	6867715	0.161593773
43	DO043	51162364	5503554	0.107570362
44	DO044	31188350	10632965	0.340927462
45	DO045	48760430	15245859	0.312668674
46	DO046	43149428	12194286	0.282605971
47	DO047	34365502	3557560	0.103521258
48	DO048	41466320	11774725	0.283958765
49	DO049	37629970	12280260	0.32634254
50	DO050	36125824	7467507	0.206708282
51	DO051	46276724	19722971	0.426196353
52	DO052	41786368	11833755	0.283196544
53	DO053	37393364	4499629	0.120332287
54	DO054	39160734	6559076	0.16749114
55	DO055	41381308	8980833	0.21702632
56	DO056	28820450	6346731	0.220216235
57	DO057	35278592	8479671	0.240363079
58	DO058	34831958	6237191	0.179065185
59	DO059	84993766	25628914	0.301538751
60	DO060	26856030	1026537	0.038223706
61	DO061	35484976	17770515	0.500789827
62	DO062	45071050	12268601	0.272205795
63	DO063	26977334	5406980	0.200426773
64	DO064	48338750	20917425	0.432725815
65	DO065	42279026	25960446	0.614026586
66	DO066	34213604	12001903	0.350793298
67	DO067	55303554	17253125	0.311971361
68	DO068	21825534	1383986	0.063411324
69	DO069	63529384	17474691	0.275064701
70	DO070	102973632	15024420	0.145905507
71	DO071	59333346	35995042	0.606657882
72	DO072	22805882	1980825	0.086855882
73	DO073	37690104	8246668	0.218801943
74	DO074	41083870	22643440	0.551151583
75	DO075	28106874	1696160	0.060346803
76	DO076	32863152	10808021	0.328879622
77	DO077	23375498	2998398	0.128270978
78	DO078	39204366	6358734	0.162194537
79	DO079	21378792	305438	0.014286963
80	DO080	32010420	1262857	0.039451435
81	DO081	21206908	1256398	0.059244752
82	DO082	44260304	4861302	0.109834356
83	DO083	32895344	2650110	0.080561857
84	DO084	31504130	5594037	0.177565195
85	DO085	50826038	9781500	0.19245057
86	DO086	20892102	4174388	0.199806989
87	DO087	47185038	2184648	0.046299592
